DNTNO,HDATE,HTIME,PRDCD,RSHLD,HLDBY,HLDPROG,RSCLR,CDATE,CTIME,CLRBY,CLRPROG
G052522516705M ,20240521,075958093,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225167448 ,20240521,075958171,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522517936D ,20240521,075958264,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522518741J ,20240510,152434528,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522518741J ,20240510,153201906,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225187661 ,20240510,152434590,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225187661 ,20240510,153201984,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522519510X ,20240509,155510565,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522520100X ,20240521,075958343,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225208046 ,20240509,155510659,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522520871L ,20240509,155510737,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225227267 ,20240510,152434653,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225227267 ,20240510,153202047,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522522851Y ,20240510,152434731,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522522851Y ,20240510,153202109,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522522863Q ,20240510,152434793,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522522863Q ,20240510,153202187,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225228976 ,20240510,152434856,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225228976 ,20240510,153202250,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522523017C ,20240510,152434918,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522523017C ,20240510,153202328,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522523033C ,20240509,155510831,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225233683 ,20240509,155510925,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225233683 ,20240509,155511018,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522523822S ,20240509,155511097,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
